time	x
0	0
0.01	0.264166667
0.02	0.410340136
0.03	0.252198582
0.04	0.890952381
0.05	0.667092199
0.06	1.709019608
0.07	1.937604167
0.08	2.013900709
0.09	2.743333333
0.1	3.500350877
0.11	4.344313725
0.12	5.294358974
0.13	6.484358974
0.14	7.473857678
0.15	8.225315315
0.16	9.246403509
0.17	10.35341085
0.18	11.23705628
0.19	12.16732601
0.2	13.07416667
0.21	14.35358974
0.22	15.58266667
0.23	16.47726908
0.24	17.97223629
0.25	19.59809524
0.26	20.71843137
0.27	22.08146119
0.28	23.81543071
0.29	25.26078431
0.3	26.6645614
0.31	28.12666667
0.32	29.66416667
0.33	31.25922481
0.34	33.01238095
0.35	34.68869198
0.36	36.35138577
0.37	38.33011494
0.38	39.90166667
0.39	41.81253623
0.4	43.78730496
0.41	45.45025157
0.42	47.4783908
0.43	49.44484848
0.44	51.15308176
0.45	53.19685897
0.46	55.13540453
0.47	57.15791667
0.48	59.2929932
0.49	61.3807483
0.5	63.24259587
0.51	65.34685897
0.52	67.58254902
0.53	69.49480826
0.54	71.72755162
0.55	76.09333333
0.56	78.26345912
0.57	80.59389356
0.58	82.86916667
0.59	85.22755162
0.6	87.51210356
0.61	89.92957929
0.62	92.17028369
0.63	94.69970037
0.64	97.07762821
0.65	102.1917152
0.66	104.5292308
0.67	106.8947701
0.68	109.5835474
0.69	112.0618018
0.7	114.46
0.71	117.118046
0.72	120.0710063
0.73	122.4875758
0.74	125.0444633
0.75	127.8508046
0.76	130.4388618
0.77	133.1866667
0.78	136.135945
0.79	139.2162771
0.8	142.1982576
0.81	145.5788406
0.82	148.2816117
0.83	151.5140453
0.84	155.0370115
0.85	157.3842424
0.86	160.2596564
0.87	164.0136232
0.88	166.9011565
0.89	170.2818391
0.9	173.5178755
0.91	176.729697
0.92	180.0357576
0.93	183.4786667
0.94	186.6543262
